timestamp,frame_number,left_eye_x,left_eye_y,right_eye_x,right_eye_y,gaze_direction
1781820728.654237,56,748,402,639,397,Center
1781820728.6884952,57,748,403,638,398,Center
1781820728.718993,58,748,404,638,398,Center
1781820728.751699,59,747,404,638,398,Center
1781820728.787007,60,747,404,638,398,Center
1781820728.822129,61,748,404,638,398,Center
1781820728.852533,62,747,405,638,399,Center
1781820728.8873432,63,747,405,637,400,Center
1781820728.921328,64,747,405,638,399,Center
1781820728.953666,65,747,402,638,397,Center
1781820728.9871519,66,748,401,638,395,Center
1781820729.021413,67,748,402,639,396,Center
1781820729.053018,68,748,404,638,398,Center
1781820729.087324,69,747,404,638,399,Center
1781820729.120527,70,747,405,637,400,Center
1781820729.1549509,71,747,405,637,399,Center
1781820729.187158,72,747,404,637,399,Center
1781820729.219842,73,747,404,638,398,Center
1781820729.253987,74,747,403,637,398,Center
1781820729.2864609,75,747,403,637,398,Center
1781820729.320102,76,747,403,637,398,Center
1781820729.3537889,77,747,403,637,398,Center
1781820729.387375,78,747,403,638,398,Center
1781820729.419591,79,747,403,638,398,Center
1781820729.453695,80,747,403,638,397,Center
1781820729.4864159,81,747,403,638,398,Center
1781820729.5199602,82,747,403,638,398,Center
1781820729.552334,83,747,403,638,397,Center
1781820729.5880902,84,747,403,638,398,Center
1781820729.620057,85,747,403,638,398,Center
1781820729.6533911,86,747,403,638,398,Center
1781820729.686456,87,747,403,638,398,Center
1781820729.7202501,88,747,403,638,398,Center
1781820729.753797,89,747,403,638,398,Center
1781820729.786923,90,748,403,638,398,Center
1781820729.820113,91,747,403,638,397,Center
1781820729.855118,92,747,403,638,397,Center
1781820729.8873348,93,748,404,638,397,Center
1781820729.920373,94,747,404,638,398,Center
1781820729.9542289,95,747,403,637,398,Center
1781820729.986851,96,747,403,638,397,Center
1781820730.022354,97,747,402,638,397,Center
1781820730.053466,98,746,402,637,396,Center
1781820730.088127,99,746,402,636,396,Center
1781820730.121721,100,746,402,636,396,Center
1781820730.161959,101,745,402,636,397,Center
1781820730.1854641,102,746,402,636,397,Center
1781820730.252658,103,746,402,636,396,Center
1781820730.286199,104,746,401,636,396,Center
1781820730.32013,105,746,401,636,395,Center
1781820730.353256,106,746,401,636,396,Center
1781820730.3861609,107,746,402,637,396,Center
1781820730.4209878,108,747,402,637,396,Center
1781820730.4558651,109,747,402,637,396,Center
1781820730.4880068,110,747,402,637,396,Center
1781820730.5216389,111,747,402,638,396,Center
1781820730.554923,112,748,402,638,396,Center
1781820730.587824,113,748,402,638,396,Center
1781820730.622133,114,748,402,638,396,Center
1781820730.655669,115,749,402,639,396,Center
1781820730.687619,116,749,402,639,396,Center
1781820730.721625,117,749,402,639,396,Center
1781820730.7557719,118,749,401,639,396,Center
1781820730.789529,119,749,401,639,395,Center
1781820730.820864,120,749,402,639,395,Center
1781820730.855463,121,749,401,639,395,Center
1781820730.889904,122,749,402,639,395,Center
1781820730.9213161,123,749,401,639,395,Center
1781820730.9554539,124,750,402,639,396,Center
1781820730.988491,125,750,403,639,396,Center
1781820731.0213661,126,749,403,639,397,Center
1781820731.054694,127,750,402,639,397,Center
1781820731.088758,128,749,403,640,397,Center
1781820731.122617,129,750,404,640,397,Center
1781820731.154339,130,751,405,640,399,Center
1781820731.1890829,131,750,405,640,399,Center
1781820731.220405,132,750,404,640,398,Center
